        Layer (type)               Output Shape          Params           FLOPs           Madds
      MemoryEfficientSwish-118          (0, 0)             [1, 28, 1, 1]             [1, 28, 1, 1]               0               0
                  Identity-119          (0, 0)             [1, 28, 1, 1]             [1, 28, 1, 1]               0               0
                  Identity-120          (0, 0)          [1, 672, 46, 80]          [1, 672, 46, 80]               0               0
               BatchNorm2d-121          (0, 0)          [1, 112, 46, 80]          [1, 112, 46, 80]             224         412,160
                  Identity-122          (0, 0)          [1, 112, 46, 80]          [1, 112, 46, 80]               0               0
               BatchNorm2d-123          (0, 0)          [1, 672, 46, 80]          [1, 672, 46, 80]           1,344       2,472,960
      MemoryEfficientSwish-124          (0, 0)          [1, 672, 46, 80]          [1, 672, 46, 80]               0               0
                 ZeroPad2d-125          (0, 0)          [1, 672, 46, 80]          [1, 672, 49, 83]               0               0
               BatchNorm2d-126          (0, 0)          [1, 672, 23, 40]          [1, 672, 23, 40]           1,344         618,240
      MemoryEfficientSwish-127          (0, 0)          [1, 672, 23, 40]          [1, 672, 23, 40]               0               0
                  Identity-128          (0, 0)            [1, 672, 1, 1]            [1, 672, 1, 1]               0               0
      MemoryEfficientSwish-129          (0, 0)             [1, 28, 1, 1]             [1, 28, 1, 1]               0               0
                  Identity-130          (0, 0)             [1, 28, 1, 1]             [1, 28, 1, 1]               0               0
                  Identity-131          (0, 0)          [1, 672, 23, 40]          [1, 672, 23, 40]               0               0
               BatchNorm2d-132          (0, 0)          [1, 192, 23, 40]          [1, 192, 23, 40]             384         176,640
                  Identity-133          (0, 0)          [1, 192, 23, 40]          [1, 192, 23, 40]               0               0
               BatchNorm2d-134          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]           2,304       1,059,840
      MemoryEfficientSwish-135          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]               0               0
                 ZeroPad2d-136          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 27, 44]               0               0
               BatchNorm2d-137          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]           2,304       1,059,840
      MemoryEfficientSwish-138          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]               0               0
                  Identity-139          (0, 0)           [1, 1152, 1, 1]           [1, 1152, 1, 1]               0               0
      MemoryEfficientSwish-140          (0, 0)             [1, 48, 1, 1]             [1, 48, 1, 1]               0               0
                  Identity-141          (0, 0)             [1, 48, 1, 1]             [1, 48, 1, 1]               0               0
                  Identity-142          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]               0               0
               BatchNorm2d-143          (0, 0)          [1, 192, 23, 40]          [1, 192, 23, 40]             384         176,640
                  Identity-144          (0, 0)          [1, 192, 23, 40]          [1, 192, 23, 40]               0               0
               BatchNorm2d-145          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]           2,304       1,059,840
      MemoryEfficientSwish-146          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]               0               0
                 ZeroPad2d-147          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 27, 44]               0               0
               BatchNorm2d-148          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]           2,304       1,059,840
      MemoryEfficientSwish-149          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]               0               0
                  Identity-150          (0, 0)           [1, 1152, 1, 1]           [1, 1152, 1, 1]               0               0
      MemoryEfficientSwish-151          (0, 0)             [1, 48, 1, 1]             [1, 48, 1, 1]               0               0
                  Identity-152          (0, 0)             [1, 48, 1, 1]             [1, 48, 1, 1]               0               0
                  Identity-153          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]               0               0
               BatchNorm2d-154          (0, 0)          [1, 192, 23, 40]          [1, 192, 23, 40]             384         176,640
                  Identity-155          (0, 0)          [1, 192, 23, 40]          [1, 192, 23, 40]               0               0
               BatchNorm2d-156          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]           2,304       1,059,840
      MemoryEfficientSwish-157          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]               0               0
                 ZeroPad2d-158          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 27, 44]               0               0
               BatchNorm2d-159          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]           2,304       1,059,840
      MemoryEfficientSwish-160          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]               0               0
                  Identity-161          (0, 0)           [1, 1152, 1, 1]           [1, 1152, 1, 1]               0               0
      MemoryEfficientSwish-162          (0, 0)             [1, 48, 1, 1]             [1, 48, 1, 1]               0               0
                  Identity-163          (0, 0)             [1, 48, 1, 1]             [1, 48, 1, 1]               0               0
                  Identity-164          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]               0               0
               BatchNorm2d-165          (0, 0)          [1, 192, 23, 40]          [1, 192, 23, 40]             384         176,640
                  Identity-166          (0, 0)          [1, 192, 23, 40]          [1, 192, 23, 40]               0               0
               BatchNorm2d-167          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]           2,304       1,059,840
      MemoryEfficientSwish-168          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]               0               0
                 ZeroPad2d-169          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 25, 42]               0               0
               BatchNorm2d-170          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]           2,304       1,059,840
      MemoryEfficientSwish-171          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]               0               0
                  Identity-172          (0, 0)           [1, 1152, 1, 1]           [1, 1152, 1, 1]               0               0
      MemoryEfficientSwish-173          (0, 0)             [1, 48, 1, 1]             [1, 48, 1, 1]               0               0
                  Identity-174          (0, 0)             [1, 48, 1, 1]             [1, 48, 1, 1]               0               0
                  Identity-175          (0, 0)         [1, 1152, 23, 40]         [1, 1152, 23, 40]               0               0
               BatchNorm2d-176          (0, 0)          [1, 320, 23, 40]          [1, 320, 23, 40]             640         294,400
                  Identity-177          (0, 0)          [1, 320, 23, 40]          [1, 320, 23, 40]               0               0
               BatchNorm2d-178          (0, 0)         [1, 1280, 23, 40]         [1, 1280, 23, 40]           2,560       1,177,600
      MemoryEfficientSwish-179          (0, 0)         [1, 1280, 23, 40]         [1, 1280, 23, 40]               0               0
                    Conv2d-180           (1,1)         [1, 24, 184, 320]        [1, 256, 184, 320]           6,400     188,416,000
                    Conv2d-181           (1,1)          [1, 40, 92, 160]         [1, 256, 92, 160]          10,496      77,250,560
                    Conv2d-182           (1,1)          [1, 112, 46, 80]          [1, 256, 46, 80]          28,928      53,227,520
                    Conv2d-183           (1,1)         [1, 1280, 23, 40]          [1, 256, 23, 40]         327,936     150,850,560
                    Conv2d-184           (3,3)        [1, 256, 184, 320]        [1, 256, 184, 320]         590,080  17,371,955,200
                    Conv2d-185           (3,3)         [1, 256, 92, 160]         [1, 256, 92, 160]         590,080   4,342,988,800
                    Conv2d-186           (3,3)          [1, 256, 46, 80]          [1, 256, 46, 80]         590,080   1,085,747,200
                    Conv2d-187           (3,3)          [1, 256, 23, 40]          [1, 256, 23, 40]         590,080     271,436,800
                    Conv2d-188           (3,3)        [1, 256, 184, 320]        [1, 256, 184, 320]         590,080  17,371,955,200
                    Conv2d-189           (1,1)        [1, 256, 184, 320]          [1, 3, 184, 320]             771      22,698,240
                    Conv2d-190           (1,1)        [1, 256, 184, 320]         [1, 12, 184, 320]           3,084      90,792,960
                    Conv2d-191           (3,3)         [1, 256, 92, 160]         [1, 256, 92, 160]         590,080   4,342,988,800
                    Conv2d-192           (1,1)         [1, 256, 92, 160]           [1, 3, 92, 160]             771       5,674,560
                    Conv2d-193           (1,1)         [1, 256, 92, 160]          [1, 12, 92, 160]           3,084      22,698,240
                    Conv2d-194           (3,3)          [1, 256, 46, 80]          [1, 256, 46, 80]         590,080   1,085,747,200
                    Conv2d-195           (1,1)          [1, 256, 46, 80]            [1, 3, 46, 80]             771       1,418,640
                    Conv2d-196           (1,1)          [1, 256, 46, 80]           [1, 12, 46, 80]           3,084       5,674,560
                    Conv2d-197           (3,3)          [1, 256, 23, 40]          [1, 256, 23, 40]         590,080     271,436,800
                    Conv2d-198           (1,1)          [1, 256, 23, 40]            [1, 3, 23, 40]             771         354,660
                    Conv2d-199           (1,1)          [1, 256, 23, 40]           [1, 12, 23, 40]           3,084       1,418,640
                    Conv2d-200           (3,3)          [1, 256, 12, 20]          [1, 256, 12, 20]         590,080      70,809,600
                    Conv2d-201           (1,1)          [1, 256, 12, 20]            [1, 3, 12, 20]             771          92,520
                    Conv2d-202           (1,1)          [1, 256, 12, 20]           [1, 12, 12, 20]           3,084         370,080
                 FocalLoss-203          (0, 0)               [176640, 1]                        []               0               0
              SmoothL1Loss-204          (0, 0)               [176640, 4]                        []               0               0
                 FocalLoss-205          (0, 0)                [44160, 1]                        []               0               0
              SmoothL1Loss-206          (0, 0)                [44160, 4]                        []               0               0
                 FocalLoss-207          (0, 0)                [11040, 1]                        []               0               0
              SmoothL1Loss-208          (0, 0)                [11040, 4]                        []               0               0
                 FocalLoss-209          (0, 0)                 [2760, 1]                        []               0               0
              SmoothL1Loss-210          (0, 0)                 [2760, 4]                        []               0               0
                 FocalLoss-211          (0, 0)                  [720, 1]                        []               0               0
              SmoothL1Loss-212          (0, 0)                  [720, 4]                        []               0               0
                  RoIAlign-213          (0, 0)        [1, 256, 184, 320]          [501, 256, 7, 7]               0               0
                  RoIAlign-214          (0, 0)         [1, 256, 92, 160]            [9, 256, 7, 7]               0               0
                  RoIAlign-215          (0, 0)          [1, 256, 46, 80]            [2, 256, 7, 7]               0               0
                    Linear-216          (0, 0)              [512, 12544]               [512, 1024]      12,846,080   3,288,334,336
                      ReLU-217          (0, 0)               [512, 1024]               [512, 1024]               0         262,144
                    Linear-218          (0, 0)               [512, 1024]               [512, 1024]       1,049,600     268,435,456
                      ReLU-219          (0, 0)               [512, 1024]               [512, 1024]               0         262,144
                    Linear-220          (0, 0)               [512, 1024]                  [512, 5]           5,125       1,310,720
                    Linear-221          (0, 0)               [512, 1024]                  [512, 4]           4,100       1,048,576
          CrossEntropyLoss-222          (0, 0)                  [512, 5]                        []               0               0
            BalancedL1Loss-223          (0, 0)                    [8, 4]                        []               0               0
                  RoIAlign-224          (0, 0)        [1, 256, 184, 320]          [495, 256, 7, 7]               0               0
                  RoIAlign-225          (0, 0)         [1, 256, 92, 160]           [15, 256, 7, 7]               0               0
                  RoIAlign-226          (0, 0)          [1, 256, 46, 80]            [2, 256, 7, 7]               0               0
                    Linear-227          (0, 0)              [512, 12544]               [512, 1024]      12,846,080   3,288,334,336
                      ReLU-228          (0, 0)               [512, 1024]               [512, 1024]               0         262,144
                    Linear-229          (0, 0)               [512, 1024]               [512, 1024]       1,049,600     268,435,456
                      ReLU-230          (0, 0)               [512, 1024]               [512, 1024]               0         262,144
                    Linear-231          (0, 0)               [512, 1024]                  [512, 5]           5,125       1,310,720
                    Linear-232          (0, 0)               [512, 1024]                  [512, 4]           4,100       1,048,576
          CrossEntropyLoss-233          (0, 0)                  [512, 5]                        []               0               0
            BalancedL1Loss-234          (0, 0)                    [8, 4]                        []               0               0
                  RoIAlign-235          (0, 0)        [1, 256, 184, 320]          [479, 256, 7, 7]               0               0
                  RoIAlign-236          (0, 0)         [1, 256, 92, 160]           [31, 256, 7, 7]               0               0
                  RoIAlign-237          (0, 0)          [1, 256, 46, 80]            [2, 256, 7, 7]               0               0
                    Linear-238          (0, 0)              [512, 12544]               [512, 1024]      12,846,080   3,288,334,336
                      ReLU-239          (0, 0)               [512, 1024]               [512, 1024]               0         262,144
                    Linear-240          (0, 0)               [512, 1024]               [512, 1024]       1,049,600     268,435,456
                      ReLU-241          (0, 0)               [512, 1024]               [512, 1024]               0         262,144
                    Linear-242          (0, 0)               [512, 1024]                  [512, 5]           5,125       1,310,720
                    Linear-243          (0, 0)               [512, 1024]                  [512, 4]           4,100       1,048,576
          CrossEntropyLoss-244          (0, 0)                  [512, 5]                        []               0               0
            BalancedL1Loss-245          (0, 0)                    [8, 4]                        []               0               0
======================================================================================================
Total params: 47,460,486
Trainable params: 47,460,486
Non-trainable params: 0
Total FLOPs: 57,641,467,148
----------------------------------------------------------------
Input size (MB): 2.64
Forward/backward pass size (MB): 878.36
Params size (MB): 45.26
Estimated Total Size (MB): 926.26
FLOPs size (GB): 57.64
----------------------------------------------------------------
